County,County,State,T_TTL_EST1,T_TTL_MOE1,T_5_17y_TTL_EST2,T_5_17y_TTL_MOE2,T_5_17y_SpOEng_TTL_EST3,T_5_17y_SpOEng_TTL_MOE3,T_5_17y_SpSpan_TTL_EST4,T_5_17y_SpSpan_TTL_MOE4,T_5_17y_SpSpan_SpEngVW_TTL_EST5,T_5_17y_SpSpan_SpEngVW_TTL_MOE5,T_5_17y_SpSpan_SpEngW_TTL_EST6,T_5_17y_SpSpan_SpEngW_TTL_MOE6,T_5_17y_SpSpan_SpEngNoW_TTL_EST7,T_5_17y_SpSpan_SpEngNoW_TTL_MOE7,T_5_17y_SpSpan_SpEngNoA_TTL_EST8,T_5_17y_SpSpan_SpEngNoA_TTL_MOE8,T_5_17y_SpOIEL_TTL_EST9,T_5_17y_SpOIEL_TTL_MOE9,T_5_17y_SpOIEL_SpEngVW_TTL_EST10,T_5_17y_SpOIEL_SpEngVW_TTL_MOE10,T_5_17y_SpOIEL_SpEngW_TTL_EST11,T_5_17y_SpOIEL_SpEngW_TTL_MOE11,T_5_17y_SpOIEL_SpEngNoW_TTL_EST12,T_5_17y_SpOIEL_SpEngNoW_TTL_MOE12,T_5_17y_SpOIEL_SpEngNoA_TTL_EST13,T_5_17y_SpOIEL_SpEngNoA_TTL_MOE13,T_5_17y_SpAPIL_TTL_EST14,T_5_17y_SpAPIL_TTL_MOE14,T_5_17y_SpAPIL_SpEngVW_TTL_EST15,T_5_17y_SpAPIL_SpEngVW_TTL_MOE15,T_5_17y_SpAPIL_SpEngW_TTL_EST16,T_5_17y_SpAPIL_SpEngW_TTL_MOE16,T_5_17y_SpAPIL_SpEngNoW_TTL_EST17,T_5_17y_SpAPIL_SpEngNoW_TTL_MOE17,T_5_17y_SpAPIL_SpEngNoA_TTL_EST18,T_5_17y_SpAPIL_SpEngNoA_TTL_MOE18,T_5_17y_SpOthL_TTL_EST19,T_5_17y_SpOthL_TTL_MOE19,T_5_17y_SpOthL_SpEngVW_TTL_EST20,T_5_17y_SpOthL_SpEngVW_TTL_MOE20,T_5_17y_SpOthL_SpEngW_TTL_EST21,T_5_17y_SpOthL_SpEngW_TTL_MOE21,T_5_17y_SpOthL_SpEngNoW_TTL_EST22,T_5_17y_SpOthL_SpEngNoW_TTL_MOE22,T_5_17y_SpOthL_SpEngNoA_TTL_EST23,T_5_17y_SpOthL_SpEngNoA_TTL_MOE23,T_18_64y_TTL_EST24,T_18_64y_TTL_MOE24,T_18_64y_SpOEng_TTL_EST25,T_18_64y_SpOEng_TTL_MOE25,T_18_64y_SpSpan_TTL_EST26,T_18_64y_SpSpan_TTL_MOE26,T_18_64y_SpSpan_SpEngVW_TTL_EST27,T_18_64y_SpSpan_SpEngVW_TTL_MOE27,T_18_64y_SpSpan_SpEngW_TTL_EST28,T_18_64y_SpSpan_SpEngW_TTL_MOE28,T_18_64y_SpSpan_SpEngNoW_TTL_EST29,T_18_64y_SpSpan_SpEngNoW_TTL_MOE29,T_18_64y_SpSpan_SpEngNoA_TTL_EST30,T_18_64y_SpSpan_SpEngNoA_TTL_MOE30,T_18_64y_SpOIEL_SpEngNoW_TTL_EST31,T_18_64y_SpOIEL_SpEngNoW_TTL_MOE31,T_18_64y_SpOIEL_SpEngVW_TTL_EST32,T_18_64y_SpOIEL_SpEngVW_TTL_MOE32,T_18_64y_SpOIEL_SpEngW_TTL_EST33,T_18_64y_SpOIEL_SpEngW_TTL_MOE33,T_18_64y_SpOIEL_SpEngNoW_TTL_EST34,T_18_64y_SpOIEL_SpEngNoW_TTL_MOE34,T_18_64y_SpOIEL_SpEngNoA_TTL_EST35,T_18_64y_SpOIEL_SpEngNoA_TTL_MOE35,T_18_64y_SpAPIL_TTL_EST36,T_18_64y_SpAPIL_TTL_MOE36,T_18_64y_SpAPIL_SpEngVW_TTL_EST37,T_18_64y_SpAPIL_SpEngVW_TTL_MOE37,T_18_64y_SpAPIL_SpEngW_TTL_EST38,T_18_64y_SpAPIL_SpEngW_TTL_MOE38,T_18_64y_SpAPIL_SpEngNoW_TTL_EST39,T_18_64y_SpAPIL_SpEngNoW_TTL_MOE39,T_18_64y_SpAPIL_SpEngNoA_TTL_EST40,T_18_64y_SpAPIL_SpEngNoA_TTL_MOE40,T_18_64y_SpOthL_TTL_EST41,T_18_64y_SpOthL_TTL_MOE41,T_18_64y_SpOthL_SpEngVW_TTL_EST42,T_18_64y_SpOthL_SpEngVW_TTL_MOE42,T_18_64y_SpOthL_SpEngW_TTL_EST43,T_18_64y_SpOthL_SpEngW_TTL_MOE43,T_18_64y_SpOthL_SpEngNoW_TTL_EST44,T_18_64y_SpOthL_SpEngNoW_TTL_MOE44,T_18_64y_SpOthL_SpEngNoA_TTL_EST45,T_18_64y_SpOthL_SpEngNoA_TTL_MOE45,T_65y_TTL_EST46,T_65y_TTL_MOE46,T_65y_SpOEng_TTL_EST47,T_65y_SpOEng_TTL_MOE47,T_65y_SpSpan_TTL_EST48,T_65y_SpSpan_TTL_MOE48,T_65y_SpSpan_SpEngVW_TTL_EST49,T_65y_SpSpan_SpEngVW_TTL_MOE49,T_65y_SpSpan_SpEngW_TTL_EST50,T_65y_SpSpan_SpEngW_TTL_MOE50,T_65y_SpSpan_SpEngNoW_TTL_EST51,T_65y_SpSpan_SpEngNoW_TTL_MOE51,T_65y_SpSpan_SpEngNoA_TTL_EST52,T_65y_SpSpan_SpEngNoA_TTL_MOE52,T_65y_SpOIEL_TTL_EST53,T_65y_SpOIEL_TTL_MOE53,T_65y_SpOIEL_SpEngVW_TTL_EST54,T_65y_SpOIEL_SpEngVW_TTL_MOE54,T_65y_SpOIEL_SpEngW_TTL_EST55,T_65y_SpOIEL_SpEngW_TTL_MOE55,T_65y_SpOIEL_SpEngNoW_TTL_EST56,T_65y_SpOIEL_SpEngNoW_TTL_MOE56,T_65y_SpOIEL_SpEngNoA_TTL_EST57,T_65y_SpOIEL_SpEngNoA_TTL_MOE57,T_65y_SpAPIL_TTL_EST58,T_65y_SpAPIL_TTL_MOE58,T_65y_SpAPIL_SpEngVW_TTL_EST59,T_65y_SpAPIL_SpEngVW_TTL_MOE59,T_65y_SpAPIL_SpEngW_TTL_EST60,T_65y_SpAPIL_SpEngW_TTL_MOE60,T_65y_SpAPIL_SpEngNoW_TTL_EST61,T_65y_SpAPIL_SpEngNoW_TTL_MOE61,T_65y_SpAPIL_SpEngNoA_TTL_EST62,T_65y_SpAPIL_SpEngNoA_TTL_MOE62,T_65y_SpOthL_TTL_EST63,T_65y_SpOthL_TTL_MOE63,T_65y_SpOthL_SpEngVW_TTL_EST64,T_65y_SpOthL_SpEngVW_TTL_MOE64,T_65y_SpOthL_SpEngW_TTL_EST65,T_65y_SpOthL_SpEngW_TTL_MOE65,T_65y_SpOthL_SpEngNoW_TTL_EST66,T_65y_SpOthL_SpEngNoW_TTL_MOE66,T_65y_SpOthL_SpEngNoA_TTL_EST67,T_65y_SpOthL_SpEngNoA_TTL_MOE67,GEOID,ANSICODE,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
"Licking County, Ohio",Licking County, Ohio,19871,"±1,630",3091,±645,3091,±645,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,11476,"±1,033",11407,"±1,022",50,±48,49,±47,1,±11,0,±29,0,±29,19,±23,9,±17,0,±29,10,±14,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,5304,±601,5277,±603,27,±31,27,±31,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,39089,1074057,1767478830,12761091,682.427,4.927,40.091505,-82.483435
"Limestone County, Alabama",Limestone County, Alabama,10215,"±1,130",1179,±369,1179,±369,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,6289,±832,6221,±819,40,±50,40,±50,0,±30,0,±30,0,±30,28,±45,28,±45,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,2747,±451,2725,±452,22,±26,22,±26,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,1083,161567,1459208116,113399392,563.403,43.784,34.810239,-86.981399
"Lincoln County, Maine",Lincoln County, Maine,8821,±653,1009,±181,1000,±181,6,±8,0,±23,6,±8,0,±23,0,±23,3,±5,3,±5,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,4358,±412,4335,±414,9,±8,7,±7,0,±23,2,±3,0,±23,14,±13,14,±13,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,3454,±367,3403,±369,23,±22,23,±22,0,±23,0,±23,0,±23,28,±26,28,±26,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,23015,581293,1180688993,631299424,455.867,243.746,43.994781,-69.513624
"Lincoln County, North Carolina",Lincoln County, North Carolina,9071,±974,1254,±410,1254,±410,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,5115,±678,5025,±684,90,±73,90,±73,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,2702,±328,2660,±333,42,±62,42,±62,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,37109,1008569,766239895,23350160,295.847,9.016,35.488491,-81.226893
"Lincoln County, Oregon",Lincoln County, Oregon,7132,±596,602,±178,602,±178,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,3297,±417,3271,±418,20,±25,20,±25,0,±27,0,±27,0,±27,6,±10,6,±10,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,3233,±355,3204,±355,0,±27,0,±27,0,±27,0,±27,0,±27,29,±25,29,±25,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,41041,1135856,2540733352,553145247,980.983,213.571,44.641061,-123.911212
"Linn County, Iowa",Linn County, Iowa,20645,"±1,271",2886,±532,2873,±534,0,±24,0,±24,0,±24,0,±24,0,±24,0,±24,0,±24,0,±24,0,±24,0,±24,13,±20,0,±24,13,±20,0,±24,0,±24,0,±24,0,±24,0,±24,0,±24,0,±24,12111,±869,11937,±852,104,±64,91,±71,0,±24,13,±18,0,±24,41,±39,41,±39,0,±24,0,±24,0,±24,29,±31,29,±31,0,±24,0,±24,0,±24,0,±24,0,±24,0,±24,0,±24,0,±24,5648,±553,5571,±561,35,±39,35,±39,0,±24,0,±24,0,±24,42,±37,42,±37,0,±24,0,±24,0,±24,0,±24,0,±24,0,±24,0,±24,0,±24,0,±24,0,±24,0,±24,0,±24,0,±24,19113,465245,1857048426,19835228,717.01,7.658,42.077951,-91.597674
"Linn County, Oregon",Linn County, Oregon,15617,"±1,317",2029,±469,2029,±469,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,9332,±883,9005,±819,164,±132,148,±131,0,±30,16,±25,0,±30,124,±120,48,±37,76,±114,0,±30,0,±30,21,±28,21,±28,0,±30,0,±30,0,±30,18,±30,18,±30,0,±30,0,±30,0,±30,4256,±521,4226,±520,14,±14,14,±14,0,±30,0,±30,0,±30,4,±11,4,±11,0,±30,0,±30,0,±30,12,±21,12,±21,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,41043,1135857,5929809282,50118766,2289.512,19.351,44.488898,-122.537208
"Litchfield County, Connecticut",Litchfield County, Connecticut,22690,"±1,517",3157,±591,3105,±594,32,±33,32,±33,0,±31,0,±31,0,±31,4,±5,4,±5,0,±31,0,±31,0,±31,16,±24,16,±24,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,12695,"±1,020",12529,"±1,023",54,±42,39,±35,0,±31,15,±24,0,±31,68,±56,68,±56,0,±31,0,±31,0,±31,44,±63,44,±63,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,6838,±644,6778,±637,10,±15,10,±15,0,±31,0,±31,0,±31,50,±41,23,±18,0,±31,27,±40,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Livingston County, Michigan",Livingston County, Michigan,25293,"±1,289",3459,±401,3450,±400,9,±21,6,±10,3,±17,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,15026,±864,14894,±881,51,±39,49,±37,2,±10,0,±26,0,±26,57,±60,57,±60,0,±26,0,±26,0,±26,24,±22,13,±15,0,±26,11,±16,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,6808,±505,6771,±507,0,±26,0,±26,0,±26,0,±26,0,±26,37,±29,37,±29,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,26093,1622989,1464076021,52118264,565.283,20.123,42.602532,-83.911718
"Livingston County, New York",Livingston County, New York,8852,±728,764,±210,740,±193,0,±30,0,±30,0,±30,0,±30,0,±30,24,±27,18,±25,6,±10,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,5332,±549,5269,±547,49,±44,49,±44,0,±30,0,±30,0,±30,11,±16,11,±16,0,±30,0,±30,0,±30,3,±5,3,±5,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,2756,±309,2754,±309,2,±3,2,±3,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,36051,974124,1636254770,22005357,631.762,8.496,42.729042,-77.778463
"Livingston Parish, Louisiana",Livingston Parish, Louisiana,12120,"±1,886",2159,±668,2159,±668,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,7481,"±1,226",7440,"±1,228",6,±9,6,±9,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,35,±58,35,±58,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,2480,±551,2465,±551,0,±32,0,±32,0,±32,0,±32,0,±32,15,±30,15,±30,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,22063,558083,1678652694,112175420,648.131,43.311,30.440419,-90.727474
"Lonoke County, Arkansas",Lonoke County, Arkansas,7526,"±1,005",1461,±426,1461,±426,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,4402,±597,4354,±597,48,±77,48,±77,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,1663,±286,1600,±274,63,±81,10,±16,0,±30,53,±79,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,5085,69164,1998045639,82719024,771.45,31.938,34.755114,-91.894132
"Lorain County, Ohio",Lorain County, Ohio,28510,"±1,558",3927,±771,3909,±771,0,±29,0,±29,0,±29,0,±29,0,±29,4,±9,4,±9,0,±29,0,±29,0,±29,14,±22,0,±29,0,±29,14,±22,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,16064,"±1,067",15967,"±1,058",39,±44,39,±44,0,±29,0,±29,0,±29,38,±34,38,±34,0,±29,0,±29,0,±29,20,±31,20,±31,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,8519,±673,8396,±676,75,±53,75,±53,0,±29,0,±29,0,±29,38,±36,17,±20,15,±24,6,±12,0,±29,10,±16,10,±16,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,39093,1074059,1270483154,1119495057,490.536,432.239,41.438805,-82.179722
"Los Angeles County, California",Los Angeles County, California,322003,"±5,840",33632,"±1,953",31215,"±1,895",1303,±479,1258,±478,29,±38,16,±24,0,±31,562,±287,495,±260,22,±33,45,±66,0,±31,515,±186,457,±176,25,±29,33,±42,0,±31,37,±45,37,±45,0,±31,0,±31,0,±31,205694,"±3,893",196776,"±3,722",4700,±662,4265,±663,277,±136,140,±79,18,±30,2475,±429,2297,±429,113,±74,65,±64,0,±31,1468,±497,1344,±490,56,±56,68,±62,0,±31,275,±149,275,±149,0,±31,0,±31,0,±31,82677,"±2,259",80294,"±2,177",1535,±331,1259,±319,172,±83,93,±58,11,±17,709,±193,616,±162,84,±79,9,±13,0,±31,127,±54,92,±42,31,±32,4,±6,0,±31,12,±14,7,±11,0,±31,5,±8,0,±31,6037,277283,10515988166,1785003207,4060.246,689.194,34.196398,-118.261862
"Loudoun County, Virginia",Loudoun County, Virginia,34458,"±1,571",5860,±620,5783,±612,62,±54,44,±45,0,±31,18,±29,0,±31,5,±24,5,±24,0,±31,0,±31,0,±31,10,±15,10,±15,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,22911,"±1,177",22501,"±1,177",174,±76,156,±73,18,±27,0,±31,0,±31,191,±98,152,±84,27,±35,12,±19,0,±31,45,±73,45,±73,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,5687,±484,5547,±488,114,±97,114,±97,0,±31,0,±31,0,±31,26,±23,26,±23,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,51107,1480141,1335753247,14496364,515.737,5.597,39.0812,-77.638898
"Lowndes County, Georgia",Lowndes County, Georgia,8376,"±1,230",1298,±462,1298,±462,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,5144,±868,5079,±869,46,±45,46,±45,0,±34,0,±34,0,±34,19,±19,15,±18,4,±6,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,1934,±374,1910,±365,24,±38,24,±38,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,13185,326720,1287842352,34541790,497.239,13.337,30.833145,-83.268995
"Lowndes County, Mississippi",Lowndes County, Mississippi,7664,"±1,070",1646,±470,1646,±470,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,4705,±672,4631,±664,21,±24,21,±24,0,±33,0,±33,0,±33,49,±44,49,±44,0,±33,0,±33,0,±33,4,±8,4,±8,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,1313,±300,1313,±300,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,28087,695767,1309105224,28532500,505.448,11.016,33.471424,-88.439723
"Lubbock County, Texas",Lubbock County, Texas,22765,"±1,556",3157,±589,3136,±589,21,±23,14,±19,0,±34,7,±11,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,13752,"±1,091",13468,"±1,077",127,±58,82,±60,45,±41,0,±34,0,±34,133,±89,121,±85,12,±21,0,±34,0,±34,24,±39,24,±39,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,5856,±515,5767,±506,53,±52,42,±45,0,±34,11,±17,0,±34,31,±41,31,±41,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,5,±8,5,±8,0,±34,0,±34,0,±34,48303,1383937,2319597742,13210797,895.602,5.101,33.611469,-101.819944
"Lucas County, Ohio",Lucas County, Ohio,27898,"±1,583",2809,±450,2708,±454,21,±26,21,±26,0,±29,0,±29,0,±29,40,±47,40,±47,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,40,±48,40,±48,0,±29,0,±29,0,±29,16898,"±1,259",16489,"±1,270",213,±143,155,±124,43,±67,15,±23,0,±29,144,±105,144,±105,0,±29,0,±29,0,±29,25,±36,25,±36,0,±29,0,±29,0,±29,27,±43,27,±43,0,±29,0,±29,0,±29,8191,±674,8031,±669,44,±44,36,±41,0,±29,8,±13,0,±29,87,±52,79,±50,8,±13,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,29,±33,29,±33,0,±29,0,±29,0,±29,39095,1074060,879721651,663490729,339.662,256.175,41.682321,-83.468903
"Luzerne County, Pennsylvania",Luzerne County, Pennsylvania,16563,"±1,001",1725,±361,1687,±357,27,±28,27,±28,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,11,±16,11,±16,0,±27,0,±27,0,±27,9600,±650,9569,±650,20,±28,20,±28,0,±27,0,±27,0,±27,11,±8,11,±8,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,5238,±474,5188,±476,5,±6,3,±4,0,±27,2,±3,0,±27,40,±28,38,±28,2,±3,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,5,±8,5,±8,0,±27,0,±27,0,±27,42079,1209183,2304768924,42104649,889.876,16.257,41.173078,-75.976053
"Lycoming County, Pennsylvania",Lycoming County, Pennsylvania,8741,±697,1055,±233,1055,±233,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,4667,±492,4658,±491,4,±7,0,±27,4,±7,0,±27,0,±27,5,±6,2,±3,3,±5,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,3019,±315,3015,±316,4,±5,1,±2,0,±27,3,±5,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,42081,1213677,3182886778,38917581,1228.92,15.026,41.343882,-77.055262
"Lynchburg city, Virginia",Lynchburg city, Virginia,7864,±933,733,±255,733,±255,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,5354,±751,5227,±758,35,±43,35,±43,0,±31,0,±31,0,±31,62,±54,62,±54,0,±31,0,±31,0,±31,30,±34,30,±34,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,1777,±268,1763,±272,0,±31,0,±31,0,±31,0,±31,0,±31,14,±23,14,±23,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,51680,1498429,126848431,1422888,48.976,0.549,37.399016,-79.195458
"Macomb County, Michigan",Macomb County, Michigan,56168,"±2,004",6239,±736,6191,±743,24,±32,24,±32,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,4,±6,4,±6,0,±26,0,±26,0,±26,20,±22,20,±22,0,±26,0,±26,0,±26,33241,"±1,487",32958,"±1,447",101,±66,87,±62,14,±22,0,±26,0,±26,182,±94,142,±86,35,±37,5,±9,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,16688,±918,16626,±923,23,±26,13,±21,10,±16,0,±26,0,±26,39,±27,16,±18,16,±19,7,±11,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,26099,1622992,1241505063,237173297,479.348,91.573,42.671553,-82.911456
"Macon County, Illinois",Macon County, Illinois,9925,"±1,004",1200,±416,1200,±416,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,5401,±584,5290,±574,89,±59,89,±59,0,±28,0,±28,0,±28,22,±21,22,±21,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,3324,±363,3296,±361,22,±29,22,±29,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,6,±11,6,±11,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,17115,424256,1503684113,13406665,580.576,5.176,39.860237,-88.961529
"Madera County, California",Madera County, California,7881,±881,684,±235,666,±234,4,±7,4,±7,0,±31,0,±31,0,±31,14,±26,14,±26,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,4158,±641,4071,±643,30,±29,30,±29,0,±31,0,±31,0,±31,50,±49,19,±20,0,±31,31,±45,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,7,±11,6,±11,0,±31,0,±31,1,±2,3039,±347,2947,±344,92,±73,84,±72,8,±12,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,6039,277284,5534591551,42271836,2136.918,16.321,37.209821,-119.749802
